pais,codigo_pais,poblacion_2019_millones,ppp_usd_hab,acceso_electricidad_%,raee_generado_2019_kt,raee_kg_hab,aee_pom_kg_hab,tasa_recoleccion_%,raee_recolectado_kt,cat_intercambio_temperatura_%,cat_pantallas_%,cat_lamparas_%,cat_grandes_aparatos_%,cat_pequenos_aparatos_%,cat_tic_%,hierro_t,cobre_t,aluminio_t,oro_kg,plata_kg,mercurio_t,plomo_t,cadmio_t,bfr_t,legislacion_especifica,sistema_rep,normas_ambientales,operadores_formales,puntos_recogida,exporta_raee,importa_raee,volumen_exportacion_t,tasa_reciclaje_%,valor_materiales_millones_usd,empleos_formales,proyeccion_raee_2025_kt,meta_recoleccion_2025_%,raee_no_gestionado_kt,valor_perdido_millones_usd,brecha_gestion_%,eficiencia_recogida,oportunidad_economica_millones_usd,potencial_empleos,nivel_trazabilidad,valor_metales_criticos_millones_usd
Argentina,ARG,44.5,23040,100.0,328,7.3,7.0,4.0,13.12,21,12,3,21,33,10,164000,16400,29520,328,1640,0.656,14.432,0.1968,13.12,0,0,1,27,150,1,0,118,4.0,420,540,380,15,314.88,403.2,96.0,0.08746666666666666,403.2,3148.8,Bajo,3.9507600000000003
Bolivia,BOL,11.5,8900,96.3,53,4.7,7.5,4.0,2.12,22,13,3,20,32,10,26500,2650,4770,53,265,0.106,2.332,0.0318,2.12,1,1,1,6,25,0,0,0,4.0,68,120,62,10,50.88,65.28,96.0,0.0848,65.28,508.8,Medio,0.638385
Chile,CHL,19.1,24500,100.0,149,7.8,13.4,5.0,7.45,20,11,3,22,34,10,74500,7450,13410,149,745,0.298,6.556,0.0894,5.96,1,1,1,11,80,1,0,0,5.0,192,220,175,20,141.55,182.4,95.0,0.093125,182.4,1415.5,Alto,1.794705
Costa Rica,CRI,5.0,19700,99.0,66,13.2,15.5,8.0,5.28,23,10,3,21,33,10,33000,3300,5940,66,330,0.132,2.904,0.0396,2.64,1,1,1,60,120,1,0,1287,8.0,85,1200,78,25,60.72,78.2,92.0,0.044000000000000004,78.2,607.2,Alto,0.7949700000000001
Ecuador,ECU,17.4,11500,100.0,89,5.1,7.5,4.0,3.56,21,12,3,20,34,10,44500,4450,8010,89,445,0.178,3.916,0.0534,3.56,1,1,1,5,45,0,0,0,4.0,115,100,105,12,85.44,110.4,96.0,0.07911111111111112,110.4,854.4,Medio,1.072005
El Salvador,SLV,6.4,8500,100.0,32,5.0,7.5,1.0,0.32,22,13,3,19,33,10,16000,1600,2880,32,160,0.064,1.408,0.0192,1.28,0,0,1,3,15,1,0,3978,1.0,41,60,38,5,31.68,40.59,99.0,0.021333333333333333,40.59,316.8,Bajo,0.38544
Guatemala,GTM,17.6,8600,93.0,51,2.9,4.7,0.0,0.0,23,12,3,18,34,10,25500,2550,4590,51,255,0.102,2.244,0.0306,2.04,0,0,0,2,10,0,0,0,0.0,66,40,60,3,51.0,66.0,100.0,0.0,66.0,510.0,Bajo,0.6142950000000001
Honduras,HND,9.7,5200,87.0,25,2.6,2.9,1.0,0.25,24,11,3,17,35,10,12500,1250,2250,25,125,0.05,1.1,0.015,1.0,0,0,0,7,12,0,0,0,1.0,32,140,29,5,24.75,31.68,99.0,0.020833333333333332,31.68,247.5,Bajo,0.301125
Nicaragua,NIC,6.5,5300,68.0,16,2.5,3.2,0.4,0.064,25,10,3,16,36,10,8000,800,1440,16,80,0.032,0.704,0.0096,0.64,0,0,0,11,8,1,0,100,0.4,21,220,19,2,15.936,20.916,99.6,0.008,20.916,159.36,Bajo,0.19272
Panamá,PAN,4.2,29800,100.0,36,8.6,15.2,0.2,0.072,21,12,3,22,32,10,18000,1800,3240,36,180,0.072,1.584,0.0216,1.44,0,0,0,7,20,0,0,0,0.2,46,140,42,5,35.928,45.908,99.8,0.0036,45.908,359.28,Bajo,0.43362
Perú,PER,32.5,13300,84.0,195,6.0,7.5,2.0,3.9,20,13,3,23,31,10,97500,9750,17550,195,975,0.39,8.58,0.117,7.8,1,1,1,6,65,1,0,352,2.0,251,120,230,10,191.1,245.98,98.0,0.06,245.98,1911.0,Alto,2.348775
Uruguay,URY,3.5,22300,100.0,42,12.0,14.8,3.0,1.26,22,11,3,21,33,10,21000,2100,3780,42,210,0.084,1.848,0.0252,1.68,0,0,0,9,30,0,0,0,3.0,54,180,49,8,40.74,52.38,97.0,0.042,52.38,407.40000000000003,Bajo,0.50589
Venezuela,VEN,28.5,7200,100.0,267,9.0,9.0,0.4,1.068,21,12,3,20,34,10,133500,13350,24030,267,1335,0.534,11.748,0.1602,10.68,0,0,0,4,18,1,0,1551,0.4,344,80,315,3,265.932,342.624,99.6,0.059333333333333335,342.624,2659.32,Bajo,3.2160150000000005
